"","Age","Location","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","Brand"
"81",12,"Jaipur",95100,"Diesel","Manual","First",22.9,1248,74,5,3.75,"Maruti"
"82",7,"Pune",70000,"Petrol","Manual","First",17.57,1193,88.7,5,4.5,"Tata"
"83",8,"Kochi",54944,"Petrol","Manual","First",18,1198,86.7,5,4.82,"Honda"
"85",11,"Jaipur",99638,"Diesel","Manual","First",23.2,1248,73.94,5,3.11,"Maruti"
"86",15,"Delhi",52000,"Petrol","Manual","First",17.8,1497,117.3,5,3.25,"Honda"
"90",17,"Hyderabad",73745,"Petrol","Manual","First",17,1086,79.02682672,5,2.1,"Hyundai"
"91",8,"Mumbai",18949,"Petrol","Manual","First",17.8,1198,86.7,5,5,"Honda"
"92",10,"Delhi",107000,"Diesel","Manual","First",13,2982,168.5,7,16.5,"Toyota"
"93",6,"Coimbatore",48367,"Diesel","Automatic","First",17.68,1968,174.33,5,39.58,"Audi"
"94",11,"Delhi",57000,"Diesel","Manual","First",22.7,1498,89.84,5,5.5,"Ford"
"95",10,"Delhi",58000,"Diesel","Manual","First",15.1,2179,140,7,8.1,"Mahindra"
"96",9,"Kolkata",30000,"Diesel","Manual","First",25.8,1498,98.6,5,3.5,"Honda"
"98",14,"Ahmedabad",70002,"Diesel","Manual","First",16.2,1493,110,5,3.45,"Hyundai"
"99",8,"Bangalore",62000,"Petrol","Manual","First",18.9,998,67.1,5,4.45,"Maruti"
"100",14,"Delhi",62001,"Petrol","Manual","First",15.26,1598,103.5,5,2.65,"Volkswagen"
"101",13,"Pune",78958,"Diesel","Manual","Second",23,1396,90,5,3.8,"Hyundai"
"102",10,"Mumbai",30180,"Petrol","Manual","First",18.5,1197,82.85,5,4.65,"Hyundai"
"103",7,"Pune",32851,"Petrol","Manual","First",19.83,1198,67,7,3.95,"Datsun"
"105",15,"Pune",66000,"Petrol","Manual","Second",17,1197,80,5,2.7,"Hyundai"
"108",13,"Hyderabad",78000,"Diesel","Automatic","Second",14.74,2993,270.9,5,24,"Jaguar"
"109",12,"Delhi",65000,"Diesel","Manual","Second",16,2179,140,7,5.75,"Mahindra"
"110",10,"Kolkata",40000,"Diesel","Automatic","First",22.32,1582,126.32,5,5.25,"Hyundai"
"112",7,"Coimbatore",38053,"Petrol","Manual","First",15.1,1196,73,5,3.91,"Maruti"
"113",10,"Bangalore",25500,"Petrol","Manual","First",25.4,624,37.5,4,2.15,"Tata"
"115",14,"Delhi",71088,"Petrol","Manual","First",13.5,1799,130,5,3.35,"Honda"
"116",10,"Ahmedabad",55000,"Diesel","Manual","First",12.99,2494,100.6,7,11.11,"Toyota"
"117",10,"Bangalore",32700,"Diesel","Automatic","First",23.3,1984,150,5,20,"Volvo"
"119",15,"Mumbai",128000,"Petrol","Automatic","First",10.8,2497,215,5,7,"BMW"
"120",8,"Mumbai",55000,"Diesel","Manual","First",24.3,1248,88.5,5,7.5,"Maruti"
"121",19,"Mumbai",102000,"Petrol","Manual","Second",17,1086,78.7730386,5,0.85,"Hyundai"
"122",10,"Pune",53753,"Diesel","Automatic","Second",15,2143,107.3,5,16.75,"Mercedes-Benz"
"123",6,"Kolkata",10250,"Diesel","Manual","First",22,1582,126.2,5,10.95,"Hyundai"
"124",13,"Pune",43874,"Petrol","Manual","First",18.9,998,67.1,5,2.45,"Maruti"
"125",7,"Coimbatore",32684,"Petrol","Automatic","First",21.9,624,37.48,4,3.23,"Tata"
"127",15,"Kolkata",28352,"Petrol","Automatic","First",11.7,1796,178,5,9.35,"Mercedes-Benz"
"128",11,"Pune",89900,"CNG","Manual","First",26.6,998,58.16,5,3.25,"Maruti"
"129",17,"Bangalore",47700,"Petrol","Manual","Second",10.8,2354,152,5,5.25,"Honda"
"130",9,"Pune",55000,"Diesel","Automatic","First",21.21,1498,103.2,5,7.25,"Volkswagen"
"131",7,"Kochi",44285,"Petrol","Manual","First",20.73,1373,91.1,5,7.47,"Maruti"
"133",8,"Coimbatore",30232,"Petrol","Manual","First",21.1,1197,85.8,5,5.81,"Maruti"
"134",10,"Hyderabad",88500,"Petrol","Manual","First",24.07,998,67.1,5,2.6,"Maruti"
"135",7,"Kolkata",13372,"Petrol","Automatic","First",19,2996,362.07,2,54,"Mercedes-Benz"
"136",5,"Kochi",12645,"Petrol","Automatic","First",17,1591,121.3,5,11.5,"Hyundai"
"140",12,"Delhi",88578,"Petrol","Manual","First",13.5,1799,130,5,3.95,"Honda"
"141",10,"Kochi",44965,"Diesel","Automatic","First",19.27,2143,170,5,17.95,"Mercedes-Benz"
"142",10,"Kolkata",45044,"Diesel","Manual","First",25.8,1498,98.6,5,3.7,"Honda"
"143",8,"Kochi",34204,"Petrol","Manual","First",22,1197,81.8,5,5.43,"Maruti"
"144",16,"Kochi",80759,"Petrol","Manual","Third",17,1086,78.60228334,5,1.67,"Hyundai"
"146",10,"Pune",38800,"Petrol","Manual","First",18.6,1199,76.8,5,2.85,"Chevrolet"
"147",11,"Chennai",83000,"Diesel","Manual","First",21.14,1498,103.52,5,4.75,"Skoda"
"148",6,"Kochi",41283,"Petrol","Manual","First",20.73,1373,91.1,5,9.9,"Maruti"
"149",11,"Mumbai",23000,"Petrol","Automatic","First",11.05,2894,444,4,37,"Audi"
"150",10,"Mumbai",48000,"Diesel","Automatic","First",21.76,1995,190,5,26.5,"BMW"
"152",8,"Chennai",35000,"Diesel","Manual","First",22.9,1248,74,5,6.25,"Maruti"
"153",14,"Kolkata",35277,"Petrol","Automatic","First",7.81,5461,362.9,5,30,"Mercedes-Benz"
"154",8,"Coimbatore",54620,"Diesel","Automatic","First",21.66,1498,103.52,5,9.86,"Skoda"
"155",12,"Pune",136997,"Diesel","Automatic","First",17.2,1968,138.1,5,8.5,"Skoda"
"156",5,"Kochi",14322,"Petrol","Manual","First",21.1,814,55.2,5,4.23,"Hyundai"
"157",12,"Jaipur",65634,"Diesel","Manual","First",22.07,1199,73.9,5,3.5,"Volkswagen"
"158",8,"Kolkata",6000,"Petrol","Manual","First",20.63,1198,67.06,5,2.5,"Datsun"
"159",11,"Kolkata",33280,"Petrol","Manual","First",19.4,1198,86.8,5,2.39,"Honda"
"160",11,"Delhi",29000,"Petrol","Automatic","First",14.8,1595,120.7,5,11.25,"Mercedes-Benz"
"161",9,"Kochi",42831,"Diesel","Manual","First",26,1498,98.6,5,7.11,"Honda"
"162",8,"Ahmedabad",90000,"Diesel","Manual","First",12.99,2494,100.6,7,10.9,"Toyota"
"163",7,"Ahmedabad",24005,"Petrol","Manual","First",20.4,1197,81.8,5,6.2,"Maruti"
"164",12,"Mumbai",32792,"Diesel","Manual","First",15.1,2179,140,7,7.9,"Mahindra"
"165",10,"Kochi",147898,"Diesel","Manual","First",22.7,1498,89.84,5,4.42,"Ford"
"166",12,"Mumbai",131765,"Diesel","Manual","First",13,2982,168.5,7,13.5,"Toyota"
"167",11,"Chennai",65000,"Diesel","Automatic","First",21.5,1498,108.5,5,6.25,"Volkswagen"
"168",14,"Jaipur",66123,"Diesel","Manual","Second",20,1399,68,5,2.1,"Ford"
"169",9,"Mumbai",41000,"Diesel","Automatic","First",15.3,2993,258,5,45,"BMW"
"170",7,"Coimbatore",23550,"Diesel","Automatic","First",19.27,2143,167.62,5,33.66,"Mercedes-Benz"
"171",12,"Bangalore",45000,"Petrol","Manual","Second",19.4,1198,86.8,5,3.65,"Honda"
"172",11,"Delhi",60000,"Petrol","Manual","First",20.36,1197,78.9,5,2.75,"Hyundai"
"174",5,"Kolkata",1000,"Petrol","Manual","First",18.9,1197,81.86,5,6.5,"Hyundai"
"175",12,"Mumbai",62500,"Diesel","Automatic","Second",17.68,1968,174.33,5,19,"Audi"
"176",11,"Mumbai",21000,"Petrol","Automatic","Second",14.4,1598,103.6,5,4.45,"Volkswagen"
"177",7,"Jaipur",8525,"Diesel","Automatic","Second",16.6,1998,112,5,23,"Mini"
"178",10,"Bangalore",29000,"Diesel","Manual","First",22.54,1396,88.73,5,8.35,"Hyundai"
"180",12,"Jaipur",88000,"Diesel","Manual","First",25.44,936,57.6,5,1.5,"Chevrolet"
"182",18,"Chennai",216000,"Diesel","Manual","Second",17.8,1399,68,5,1.45,"Ford"
"183",10,"Hyderabad",51000,"Diesel","Automatic","First",22.48,1995,190,5,33.5,"BMW"
"184",17,"Jaipur",118500,"Petrol","Manual","First",12.9,1598,102.5,5,1.25,"Chevrolet"
"185",12,"Hyderabad",63000,"Diesel","Manual","First",22.07,1199,73.9,5,4.2,"Volkswagen"
"186",9,"Mumbai",25000,"Diesel","Manual","First",19.98,1461,108.5,8,6.75,"Renault"
"187",10,"Bangalore",37382,"Diesel","Automatic","First",13,2143,201.1,5,32,"Mercedes-Benz"
"188",7,"Kochi",24773,"Petrol","Manual","First",21.4,1197,83.1,5,7.5,"Maruti"
"191",8,"Kochi",56739,"Diesel","Manual","First",15.4,1997,120,7,10.31,"Mahindra"
"192",6,"Coimbatore",36091,"Diesel","Automatic","First",12.7,2179,187.7,5,55.76,"Land"
"194",8,"Mumbai",33000,"Diesel","Manual","First",25.47,1248,88.5,7,8.5,"Maruti"
"196",9,"Jaipur",43571,"Petrol","Manual","First",20.36,1197,78.9,5,3.55,"Hyundai"
"197",11,"Kolkata",50000,"Diesel","Manual","First",25.8,1498,98.6,5,3.25,"Honda"
"198",16,"Hyderabad",113000,"Diesel","Manual","First",17.5,1896,106,5,4.5,"Skoda"
"199",10,"Delhi",90000,"Diesel","Manual","First",19.87,1461,83.8,5,5.35,"Renault"
"200",7,"Chennai",29000,"Diesel","Manual","Second",17.45,1493,100,7,6.5,"Mahindra"
"201",8,"Mumbai",20000,"Diesel","Manual","First",24.3,1248,88.5,5,9,"Maruti"
"203",15,"Jaipur",87459,"Petrol","Manual","First",14.7,1390,85,5,2.75,"Skoda"
"204",14,"Pune",70500,"Petrol","Manual","First",15.64,1193,64.1,5,1.5,"Tata"
"205",9,"Delhi",64103,"Diesel","Automatic","First",15.73,1968,174.33,5,19.9,"Audi"
"207",10,"Delhi",104000,"Diesel","Manual","First",23.59,1364,67.06,5,3,"Toyota"
"208",10,"Kochi",37245,"Petrol","Automatic","First",14.8,1595,120.7,5,11.96,"Mercedes-Benz"
"209",11,"Kolkata",45000,"Diesel","Manual","First",27.4,1498,98.6,5,3.25,"Honda"
"210",12,"Jaipur",117837,"Diesel","Manual","Second",22.32,1582,126.32,5,4.75,"Hyundai"
"211",10,"Mumbai",30000,"Diesel","Manual","First",20.46,1461,83.8,5,5.95,"Renault"
"212",9,"Delhi",27057,"Petrol","Manual","Second",15.29,1591,121.3,5,8.15,"Hyundai"
"213",8,"Mumbai",8500,"Petrol","Automatic","First",20.51,998,67,5,4.22,"Maruti"
"214",14,"Kolkata",30500,"Petrol","Automatic","First",11.74,1796,186,5,10.5,"Mercedes-Benz"
"215",12,"Delhi",56000,"Diesel","Automatic","First",11.8,2967,246.7,5,45,"Audi"
"216",12,"Pune",44000,"Petrol","Manual","Second",19.81,1086,68.05,5,2.9,"Hyundai"
"217",7,"Mumbai",10500,"Petrol","Automatic","First",14.3,1598,103.52,5,8.9,"Skoda"
"218",7,"Hyderabad",26000,"Petrol","Automatic","First",14.67,1798,177.46,5,26,"Skoda"
"221",20,"Chennai",61000,"Petrol","Manual","Second",18.9,998,67.1,5,1.25,"Maruti"
"223",6,"Coimbatore",29161,"Diesel","Automatic","First",19.27,2143,167.62,5,39.41,"Mercedes-Benz"
"224",11,"Kolkata",32000,"Petrol","Manual","First",22.5,998,67.04,5,2.65,"Maruti"
"225",9,"Coimbatore",46173,"Diesel","Manual","Second",19.01,1461,108.5,5,8.92,"Nissan"
"226",11,"Delhi",47000,"Diesel","Manual","First",17.8,1248,84.15125827,5,4.1,"Maruti"
"227",7,"Kochi",26327,"Petrol","Automatic","First",16.82,1998,189.08,4,35.67,"Mini"
"228",17,"Jaipur",200000,"Diesel","Manual","Second",17.2,1396,53.5,5,0.85,"Tata"
"229",8,"Kochi",60813,"Petrol","Manual","Second",18.6,1199,76.8,5,3.32,"Chevrolet"
"231",8,"Hyderabad",64000,"Diesel","Manual","First",22.9,1248,74,5,6.8,"Maruti"
"232",12,"Kolkata",41284,"Diesel","Manual","First",20,1399,68.05,5,2.5,"Ford"
"233",5,"Kochi",14165,"Diesel","Automatic","First",11.36,2755,171.5,7,19.64,"Toyota"
"234",13,"Mumbai",67000,"Diesel","Automatic","Second",11.72,2199,194.3,7,7,"Hyundai"
"235",13,"Kolkata",32572,"Petrol","Manual","First",17.4,1497,117.3,5,3.87,"Honda"
"236",6,"Kochi",14960,"Petrol","Manual","First",18.6,1197,81.83,5,6.27,"Hyundai"
"237",9,"Kochi",55980,"Diesel","Automatic","First",19.27,2143,167.62,5,18.12,"Mercedes-Benz"
"239",9,"Kochi",56847,"Diesel","Manual","First",22.54,1396,88.73,5,7.2,"Hyundai"
"241",11,"Chennai",52000,"Diesel","Manual","First",20.77,1248,88.76,7,6.9,"Maruti"
"242",10,"Mumbai",118000,"Diesel","Manual","First",12.8,2494,102,7,10.75,"Toyota"
"243",17,"Mumbai",72000,"Petrol","Manual","Third",17,1086,78.97798833,5,0.95,"Hyundai"
"244",8,"Kochi",33915,"Petrol","Manual","First",17.8,1497,117.3,5,8.09,"Honda"
"245",10,"Ahmedabad",82002,"Diesel","Automatic","First",17.05,1995,184,5,18.5,"BMW"
"246",7,"Mumbai",33000,"Diesel","Manual","First",24,1120,70,5,4.75,"Hyundai"
"247",8,"Chennai",34000,"Diesel","Manual","First",28.09,1248,88.5,5,8.45,"Maruti"
"250",10,"Jaipur",60000,"Diesel","Manual","Second",19.91,1498,103.6,5,3.7,"Volkswagen"
"251",7,"Coimbatore",49575,"Petrol","Manual","First",18.7,1199,88.7,5,7.17,"Honda"
"252",14,"Jaipur",83000,"Petrol","Manual","First",19.81,1086,68.05,5,1.75,"Hyundai"
"253",6,"Kochi",51346,"Diesel","Automatic","First",16.38,1995,183,5,21.99,"Hyundai"
"254",7,"Pune",43000,"Diesel","Manual","First",13.68,2393,147.8,7,18.65,"Toyota"
"255",13,"Jaipur",35000,"Petrol","Manual","Third",19.7,796,35,5,1.85,"Maruti"
"257",10,"Mumbai",16514,"Petrol","Manual","First",18.9,1197,82,5,3.75,"Hyundai"
"258",12,"Pune",120000,"Diesel","Manual","First",22.9,1248,74,5,3.75,"Maruti"
"259",16,"Hyderabad",143275,"Diesel","Manual","First",22,1582,126.2,5,2.6,"Hyundai"
"263",10,"Bangalore",57000,"Diesel","Manual","Second",15.8,2148,170,5,18,"Mercedes-Benz"
"265",8,"Bangalore",28000,"Diesel","Manual","First",19.67,1582,126.2,5,13.75,"Hyundai"
"266",14,"Pune",67000,"Petrol","Manual","First",19,998,66.1,5,2,"Maruti"
"267",8,"Delhi",26000,"Diesel","Manual","First",19.64,1461,108.45,5,10,"Renault"
"268",14,"Delhi",120000,"Diesel","Manual","First",17.8,1248,76,5,1.65,"Fiat"
"269",7,"Coimbatore",51982,"Diesel","Automatic","First",16.55,2993,258,5,45.77,"BMW"
"270",14,"Bangalore",36000,"Petrol","Manual","Second",20.36,1197,78.9,5,3.25,"Hyundai"
"272",22,"Mumbai",60000,"Petrol","Manual","Third",17.3,993,60,5,0.55,"Maruti"
"273",6,"Hyderabad",31025,"Diesel","Manual","First",28.4,1248,74,5,7.15,"Maruti"
"274",11,"Pune",105000,"Diesel","Manual","Second",12.05,2179,120,8,7,"Mahindra"
"276",7,"Mumbai",22695,"Petrol","Manual","First",18.88,999,123.24,5,8.5,"Ford"
"278",8,"Kochi",32227,"Petrol","Manual","First",22.74,796,47.3,5,3.26,"Maruti"
"279",13,"Jaipur",55000,"Petrol","Manual","First",17,1497,118,5,4.21,"Honda"
"280",6,"Kochi",11287,"Diesel","Automatic","First",12.07,2967,241.4,7,70.36,"Audi"
"282",12,"Kochi",54308,"Petrol","Manual","First",17.1,1591,121.3,5,4.28,"Hyundai"
"283",15,"Jaipur",78442,"Petrol","Automatic","First",16.8,1497,118,5,3.57,"Honda"
"284",11,"Kolkata",46000,"Diesel","Manual","First",21.9,1396,88.8,5,3.11,"Hyundai"
"285",10,"Coimbatore",45051,"Petrol","Automatic","First",15,1396,98.6,5,5.96,"Hyundai"
"286",13,"Hyderabad",69000,"Diesel","Manual","First",20.54,1598,103.6,5,4.7,"Volkswagen"
"287",10,"Ahmedabad",49000,"Petrol","Manual","First",17.4,1497,117.3,5,6.9,"Honda"
"288",6,"Pune",45000,"Diesel","Manual","First",22.95,1248,74,5,5.25,"Tata"
"289",9,"Pune",64000,"Diesel","Automatic","First",18.48,1995,177,5,28,"BMW"
"290",15,"Delhi",60000,"Petrol","Manual","First",18.9,1061,67,5,1.35,"Maruti"
"291",9,"Delhi",62178,"Petrol","Manual","First",18.2,1199,88.7,5,4.85,"Honda"
"292",12,"Coimbatore",58006,"Diesel","Manual","First",15,1896,105,5,6.7,"Volkswagen"
"293",14,"Hyderabad",74000,"Petrol","Manual","First",20.36,1197,78.9,5,3.1,"Hyundai"
"298",14,"Hyderabad",109000,"Diesel","Manual","Second",12.99,2494,100.6,7,8.26,"Toyota"
"299",9,"Mumbai",31978,"Petrol","Manual","First",16.47,1198,73.9,5,3.89,"Volkswagen"
"302",11,"Coimbatore",59138,"Diesel","Manual","First",17,1405,70,5,2.58,"Tata"
"304",9,"Delhi",48000,"Diesel","Automatic","First",17.9,2143,136,5,20.26,"Mercedes-Benz"
"305",18,"Chennai",58000,"Petrol","Manual","Second",0,1086,79.32881409,5,1.5,"Hyundai"
"306",13,"Kolkata",60020,"Diesel","Manual","First",17.8,1248,85.26277097,5,2.5,"Maruti"
"307",10,"Hyderabad",77815,"Petrol","Automatic","First",23.1,998,67.04,5,4.25,"Maruti"
"308",7,"Hyderabad",29000,"Diesel","Automatic","First",17.9,2143,201.15,5,57,"Mercedes-Benz"
"309",7,"Delhi",44000,"Diesel","Automatic","First",12.7,2179,187.7,5,44,"Land"
"310",13,"Hyderabad",108626,"Diesel","Manual","First",20.54,1598,103.6,5,3.65,"Volkswagen"
"311",12,"Hyderabad",71791,"Petrol","Manual","First",14,796,35,5,2.05,"Maruti"
"312",12,"Kochi",91931,"Petrol","Manual","First",18.5,1198,86.8,5,3.13,"Honda"
"313",24,"Hyderabad",158000,"Diesel","Manual","Second",14.07,2956,83.1,7,1.5,"Tata"
"314",12,"Pune",91183,"Diesel","Manual","First",18,1248,75,5,2.85,"Tata"
"315",12,"Delhi",65000,"Petrol","Manual","First",18.9,998,67.1,5,2.65,"Maruti"
"318",6,"Mumbai",18000,"Petrol","Manual","First",16.02,1373,93.7,7,8.25,"Maruti"
"319",13,"Mumbai",60000,"Petrol","Automatic","First",11.7,2354,177.6,5,4.45,"Honda"
"322",16,"Kolkata",40000,"Petrol","Manual","First",17.7,1497,78,5,1.8,"Honda"
"323",10,"Kochi",51495,"Diesel","Automatic","First",17.68,1968,174.33,5,21.95,"Audi"
"324",13,"Mumbai",30000,"Diesel","Automatic","First",9.52,2993,313,4,49,"BMW"
"325",7,"Coimbatore",97430,"Diesel","Automatic","First",14.75,2967,245,7,62.67,"Audi"
"326",16,"Pune",42496,"CNG","Manual","First",26.3,998,67.1,5,1.4,"Maruti"
"328",15,"Bangalore",37000,"Petrol","Automatic","Third",16.95,1197,78.9,5,2.95,"Hyundai"
"329",8,"Kochi",28503,"Petrol","Automatic","First",19,1199,88.7,5,6.86,"Honda"
"331",13,"Pune",79152,"Petrol","Manual","Second",18.5,1197,82.85,5,3.3,"Hyundai"
"332",13,"Kolkata",32000,"Petrol","Manual","First",16.47,1198,73.9,5,2.55,"Volkswagen"
"333",15,"Ahmedabad",35000,"Petrol","Manual","First",19.7,796,46.3,5,1.5,"Maruti"
"335",18,"Chennai",56000,"Petrol","Manual","Second",19.7,796,46.3,5,1.4,"Maruti"
"336",12,"Pune",73000,"Diesel","Manual","First",21.12,1248,88.8,5,3.4,"Tata"
"337",12,"Pune",38000,"Petrol","Manual","First",19.7,796,46.3,5,2.25,"Maruti"
"338",11,"Kolkata",775000,"Diesel","Automatic","First",19.3,1968,141,5,7.5,"Skoda"
"339",16,"Kolkata",80000,"Petrol","Automatic","First",11.3,1794,125,5,2.8,"Toyota"
"341",8,"Chennai",45000,"Diesel","Manual","First",24.3,1248,88.5,5,7.15,"Maruti"
"342",14,"Delhi",87430,"Petrol","Manual","First",17,1497,118,5,3.5,"Honda"
"343",10,"Hyderabad",133944,"Diesel","Manual","Second",18,1248,75,5,3.5,"Tata"
"344",11,"Kolkata",57000,"Diesel","Manual","First",25.8,1498,98.6,5,3.45,"Honda"
"345",8,"Coimbatore",27904,"Petrol","Manual","First",21.1,814,55.2,5,3.55,"Hyundai"
"346",9,"Kochi",30717,"Diesel","Automatic","Second",21.76,1995,190,5,25.99,"BMW"
"348",11,"Ahmedabad",47304,"Diesel","Manual","First",21.02,1248,88.8,5,2.9,"Tata"
"349",19,"Jaipur",100000,"Petrol","Automatic","First",14.45,1984,227,5,2.05,"Skoda"
"350",7,"Pune",30000,"Petrol","Manual","First",24.07,998,67.1,5,3.75,"Maruti"
"351",10,"Mumbai",68000,"Diesel","Manual","First",22.7,1498,89.84,5,6.75,"Ford"
"353",7,"Hyderabad",21000,"Diesel","Automatic","First",19.33,1999,177,5,52,"Jaguar"
"354",17,"Jaipur",119000,"Petrol","Manual","Third",13.1,1997,141.1,5,3.91,"Honda"
"355",5,"Kochi",13747,"Petrol","Automatic","First",14.67,1798,177.46,5,27.3,"Skoda"
"357",11,"Delhi",70000,"Diesel","Manual","First",22.9,1248,74,5,3.5,"Maruti"
"358",8,"Mumbai",18000,"Petrol","Automatic","First",18.5,1197,83.14,5,6.2,"Maruti"
"359",13,"Chennai",83000,"Diesel","Manual","First",23.08,1461,63.1,5,2.75,"Nissan"
