"","X","Year","Age","Name","Location","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price"
"53",53,2013,11,"Audi Q5 2.0 TDI","Mumbai",89000,"Diesel","Automatic","First",14.16,1968,174.3,5,45.5478771897005
"54",54,2014,10,"Hyundai Verna 1.6 SX VTVT","Mumbai",21000,"Petrol","Manual","First",17.01,1591,121.3,5,11.6021201511827
"55",55,2014,10,"Mahindra XUV500 W8 4WD","Kolkata",50000,"Diesel","Manual","First",15.1,2179,140,7,24.6084314420627
"56",56,2016,8,"Maruti Vitara Brezza ZDi","Hyderabad",70687,"Diesel","Manual","First",24.3,1248,88.5,5,11.02
"57",57,2016,8,"Toyota Etios Liva 1.4 VXD","Pune",104350,"Diesel","Manual","First",23.59,1364,67.04,5,8.94
"58",58,2011,13,"Tata Indigo CS LX (TDI) BS III","Chennai",150000,"Diesel","Manual","Second",19.09,1396,69,5,9.41557405501367
"59",59,2008,16,"Honda City ZX GXi","Delhi",81000,"Petrol","Manual","First",17.7,1497,78,5,7.45543712083621
"60",60,2008,16,"Toyota Corolla Altis G","Kolkata",89000,"Petrol","Manual","Second",14.53,1798,138.1,5,22.4827725976819
"61",61,2017,7,"Hyundai Grand i10 Asta","Kochi",35223,"Petrol","Manual","First",18.9,1197,82,5,7.43098030682451
"62",62,2015,9,"Hyundai i20 Sportz 1.2","Kolkata",48000,"Petrol","Manual","First",18.6,1197,81.83,5,7.12062018142776
"63",63,2015,9,"Volkswagen Polo 1.5 TDI Comfortline","Delhi",60000,"Diesel","Manual","First",20.14,1498,88.8,5,10.1585510191601
"64",64,2018,6,"Maruti Celerio X VXI Option","Mumbai",7000,"Petrol","Manual","First",23,998,67,5,5.78
"65",65,2015,9,"Chevrolet Sail Hatchback 1.2","Kochi",47572,"Petrol","Manual","First",18.2,1199,82.5,5,7.14867179141456
"66",66,2010,14,"Mahindra Scorpio VLX Special Edition BS-IV","Delhi",72727,"Diesel","Manual","Second",15.4,2179,120,8,20.399886377556
"67",67,2018,6,"Volkswagen Ameo 1.5 TDI Comfortline","Mumbai",4708,"Diesel","Manual","First",21.66,1498,108.62,5,9.4
"68",68,2009,15,"Maruti Wagon R LXI","Delhi",55000,"Petrol","Manual","Second",18.9,998,67.1,5,5.29546263413465
"69",69,2013,11,"Honda Brio S Option MT","Coimbatore",44198,"Petrol","Manual","Second",18.4,1198,86.8,5,6.95192638589165
"70",70,2015,9,"Maruti Ertiga VXI","Ahmedabad",35000,"Petrol","Manual","First",16.02,1373,93.7,7,12.1265082797866
"71",71,2013,11,"Hyundai Santro Xing GL","Ahmedabad",63831,"Petrol","Manual","First",0,1086,62,5,7.58450597385708
"72",72,2017,7,"Ford Figo Aspire 1.2 Ti-VCT Titanium","Delhi",17540,"Petrol","Manual","First",18.16,1196,86.8,5,6.9906936634165
"73",73,2017,7,"Tata Tiago AMT 1.2 Revotron XTA","Mumbai",14000,"Petrol","Automatic","First",23.84,1199,84,5,6.3
"74",74,2007,17,"Hyundai Santro Xing XL","Bangalore",47000,"Petrol","Manual","Second",0,1086,81.8125267774431,5,7.17366747308223
"75",75,2010,14,"Chevrolet Beat LT","Chennai",75422,"Petrol","Manual","Second",18.6,1199,79.4,5,7.13918573699998
"76",76,2011,13,"Nissan Micra Diesel XV","Hyderabad",67000,"Diesel","Manual","Second",23.08,1461,63.1,5,9.21091737536239
"77",77,2013,11,"Toyota Innova 2.5 GX (Diesel) 8 Seater","Delhi",79999,"Diesel","Manual","First",12.99,2494,100,8,13.7254357135315
"78",78,2017,7,"Hyundai Xcent 1.2 VTVT E","Kolkata",5044,"Petrol","Manual","First",20.14,1197,81.86,5,6.41
"79",79,2016,8,"Maruti Ciaz VXi","Kolkata",31601,"Petrol","Manual","First",20.73,1373,91.1,5,8.45646995243392
"80",80,2014,10,"BMW 5 Series 2013-2017 520d Luxury Line","Delhi",70000,"Diesel","Automatic","First",18.12,1995,190,5,54.3273235885991
"81",81,2016,8,"Toyota Camry Hybrid 2.5","Ahmedabad",16000,"Petrol","Automatic","First",19.16,2487,175.67,5,40.62
"82",82,2016,8,"Toyota Corolla Altis D-4D G","Mumbai",31700,"Diesel","Manual","First",21.43,1364,87.2,5,10.080542382571
"83",83,2014,10,"Hyundai Verna 1.6 SX CRDi (O)","Kochi",76969,"Diesel","Manual","First",22.32,1582,126.32,5,14.1754666400608
"84",84,2015,9,"Volkswagen Vento 1.5 TDI Highline AT","Kolkata",37000,"Diesel","Automatic","First",21.21,1498,103.2,5,36.186596173848
"85",85,2014,10,"Nissan Teana XL","Mumbai",23000,"Petrol","Automatic","First",11.07,2496,179.5,5,47.0893933674094
"86",86,2014,10,"Hyundai i20 1.2 Sportz Option","Coimbatore",59098,"Petrol","Manual","Second",17,1197,80,5,6.93965259081257
"87",87,2010,14,"Tata Manza Club Class Safire90 LX","Kochi",142299,"Petrol","Manual","First",13.07,1368,88.76,5,7.06673170284636
"88",88,2011,13,"Ford Figo Diesel ZXI","Jaipur",75731,"Diesel","Manual","First",20,1399,68,5,9.36354485540621
"89",89,2017,7,"Hyundai i20 Asta 1.2","Coimbatore",69627,"Petrol","Manual","First",18.6,1197,81.83,5,7.02780955730984
"90",90,2011,13,"Ford Fiesta Classic 1.6 SXI Duratec","Mumbai",49000,"Petrol","Manual","First",15.3,1596,99.6,5,11.4830186833799
"91",91,2015,9,"Mercedes-Benz B Class B180 Sports","Mumbai",25700,"Petrol","Automatic","First",11.9,1595,120.7,5,32.9197915165339
"92",92,2012,12,"Hyundai i20 Magna","Delhi",80800,"Petrol","Manual","First",18.5,1197,82.85,5,7.09889252755228
"93",93,2013,11,"Maruti Swift Dzire VDI","Hyderabad",110896,"Diesel","Manual","First",23.4,1248,74,5,8.90357567495789
"94",94,2009,15,"Hyundai Santro Xing GLS","Kolkata",62261,"Petrol","Manual","First",17.92,1086,62.1,5,7.2601788197381
"95",95,2017,7,"Maruti Baleno Alpha","Kochi",27610,"Petrol","Manual","First",21.4,1197,83.1,5,8.8
"96",96,2011,13,"Honda Accord 2.4 Elegance M/T","Kochi",89219,"Petrol","Manual","First",10.2,2354,180,5,53.8316643667407
"97",97,2018,6,"Nissan Micra XL CVT","Hyderabad",6700,"Petrol","Automatic","First",19.34,1198,75.94,5,9.45617498705698
"98",98,2011,13,"Maruti Zen Estilo LXI BS IV","Pune",51599,"Petrol","Manual","First",19,998,67.1,5,5.1183077355376
"99",99,2013,11,"Hyundai Elantra CRDi SX","Kolkata",37489,"Diesel","Manual","First",22.7,1582,126.24,5,14.7918773280139
"100",100,2016,8,"Tata Indica V2 DiCOR DLG BS-III","Mumbai",98000,"Diesel","Manual","First",17.5,1396,70,5,9.88341661904998
"101",101,2012,12,"Tata Nano Lx","Hyderabad",25183,"Petrol","Manual","First",26,624,35,4,4.30107317015636
"102",102,2015,9,"BMW 5 Series 2013-2017 520d Luxury Line","Bangalore",52100,"Diesel","Automatic","Second",18.12,1995,190,5,58.0973583056644
"103",103,2014,10,"Honda Amaze S i-Dtech","Pune",60000,"Diesel","Manual","First",25.8,1498,98.6,5,12.637730805726
"104",104,2013,11,"Volkswagen Polo Diesel Highline 1.2L","Kolkata",51000,"Diesel","Manual","First",22.07,1199,73.9,5,9.01775710638763
"105",105,2012,12,"Tata Indica Vista Quadrajet LX","Mumbai",70000,"Diesel","Manual","First",22.3,1248,74,5,9.19372279969705
"106",106,2015,9,"Audi Q3 30 TDI S Edition","Jaipur",95000,"Diesel","Manual","First",17.32,1968,138.13,5,32.2298841693786
"107",107,2014,10,"Honda City i DTEC SV","Jaipur",66346,"Diesel","Manual","First",26,1498,98.6,5,12.3301753943852
"108",108,2015,9,"Honda Amaze SX i-DTEC","Hyderabad",69150,"Diesel","Manual","First",25.8,1498,98.6,5,12.6183682473489
"109",109,2016,8,"Hyundai i20 Asta Option 1.2","Bangalore",31000,"Petrol","Manual","First",18.6,1197,81.83,5,6.98010864922426
"110",110,2013,11,"BMW 5 Series 2013-2017 520d Luxury Line","Bangalore",49000,"Diesel","Automatic","Second",18.12,1995,190,5,55.0130425258644
"111",111,2014,10,"Honda Brio S MT","Kochi",63058,"Petrol","Manual","First",19.4,1198,86.8,5,7.01786004641839
"112",112,2016,8,"Mercedes-Benz New C-Class C 250 CDI Avantgarde","Delhi",22000,"Diesel","Automatic","First",19.71,2143,201.15,5,59.4537262290568
"113",113,2015,9,"Volkswagen Polo 1.2 MPI Highline","Coimbatore",73026,"Petrol","Manual","First",16.47,1198,74,5,6.95768429762021
"114",114,2011,13,"Hyundai i10 Magna AT","Coimbatore",21762,"Petrol","Automatic","Second",19.2,1197,80,5,9.07805131560358
"115",115,2018,6,"Hyundai Verna 1.6 SX VTVT","Coimbatore",29738,"Petrol","Manual","First",17.01,1591,121.3,5,12.9141615217584
"116",116,2018,6,"Hyundai i20 1.2 Magna Executive","Mumbai",16053,"Petrol","Manual","First",18.6,1197,81.83,5,7.29971548020942
"117",117,2012,12,"BMW 5 Series 525d Sedan","Kochi",61665,"Diesel","Automatic","First",16.73,2993,218,5,56.0182840874416
"118",118,2015,9,"Maruti Swift Dzire Vdi BSIV","Delhi",51000,"Diesel","Manual","First",19.3,1248,73.9,5,9.63487713876057
"119",119,2016,8,"Honda BRV i-DTEC V MT","Bangalore",34820,"Diesel","Manual","First",21.9,1498,98.6,7,15.59
"120",120,2018,6,"Maruti Ertiga VXI","Mumbai",12000,"Petrol","Manual","First",17.5,1373,91.1,7,9.22414001832719
"121",121,2017,7,"Maruti Swift Dzire VDI Optional","Hyderabad",32287,"Diesel","Manual","First",26.59,1248,74,5,9.0014687386172
"122",122,2012,12,"Toyota Etios Liva GD","Jaipur",121134,"Diesel","Manual","First",23.59,1364,77.8991724300238,5,9.50855810570293
"123",123,2015,9,"BMW X3 xDrive20d","Coimbatore",74485,"Diesel","Automatic","First",16.09,1995,184,5,47.0539929834582
"124",124,2011,13,"Chevrolet Beat Diesel LS","Chennai",63000,"Diesel","Manual","First",25.44,936,57.6,5,9.49915842661878
"125",125,2018,6,"Audi Q3 30 TDI Premium FWD","Coimbatore",53190,"Diesel","Automatic","First",18.51,1968,147.51,5,44.8
"126",126,2016,8,"Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Bangalore",26900,"Diesel","Automatic","First",12,2987,224,7,30.0230056932029
"127",127,2015,9,"BMW 3 Series GT 320d Sport Line","Hyderabad",40000,"Diesel","Automatic","First",19.59,1995,184,5,54.1635507677279
"128",128,2016,8,"Hyundai Grand i10 Asta Option","Coimbatore",40587,"Petrol","Manual","First",18.9,1197,82,5,7.09542460105538
"129",129,2015,9,"Hyundai Grand i10 Asta","Hyderabad",27000,"Petrol","Manual","First",18.9,1197,82,5,6.96907338983681
"130",130,2016,8,"Toyota Etios Liva VD","Coimbatore",29108,"Diesel","Manual","First",23.59,1364,67.04,5,9.18057129672726
"131",131,2015,9,"Datsun GO T Petrol","Mumbai",18000,"Petrol","Manual","First",19.83,1198,67,5,5.74
"132",132,2017,7,"Maruti Ignis 1.2 Alpha","Kolkata",10500,"Petrol","Manual","First",20.89,1197,81.8,5,7.43
"133",133,2009,15,"Maruti A-Star Zxi","Chennai",60000,"Petrol","Manual","Third",19,998,66.1,5,5.53913645690945
"134",134,2011,13,"Honda Civic 2010-2013 1.8 V AT Sunroof","Pune",61000,"Petrol","Automatic","Third",13.9,1799,130.3,5,29.9443340226987
"135",135,2017,7,"Maruti Alto 800 LXI","Kolkata",5000,"Petrol","Manual","First",22.74,796,47.3,5,4.37690623268291
"136",136,2018,6,"Jaguar XE 2.0L Diesel Prestige","Pune",24001,"Diesel","Automatic","First",13.6,1999,177,5,52.96
"137",137,2011,13,"Hyundai i20 1.4 CRDi Sportz","Hyderabad",76000,"Diesel","Manual","First",23,1396,90,5,10.5528526201254
"138",138,2014,10,"Ford EcoSport 1.0 Ecoboost Titanium Plus","Hyderabad",56000,"Petrol","Manual","First",18.88,999,123.24,5,10.8971378611833
"139",139,2016,8,"Mahindra KUV 100 mFALCON G80 K4 5str","Mumbai",30000,"Petrol","Manual","First",18.15,1198,82,5,7.16007762608266
"140",140,2017,7,"Maruti Vitara Brezza VDi Option","Hyderabad",44263,"Diesel","Manual","First",24.3,1248,88.5,5,10.0850364366443
"141",141,2011,13,"Ford Figo Diesel ZXI","Hyderabad",97899,"Diesel","Manual","First",20,1399,68,5,9.32799125476912
"142",142,2011,13,"Volkswagen Vento Diesel Highline","Jaipur",157301,"Diesel","Manual","Second",20.54,1598,103.6,5,12.3219001574381
"143",143,2008,16,"Ford Fiesta 1.4 SXI Duratorq","Jaipur",135000,"Diesel","Manual","First",17.8,1399,78.9330826326123,5,9.84956260794427
"144",144,2016,8,"Fiat Avventura FIRE Dynamic","Pune",35000,"Petrol","Manual","Second",14.4,1368,88.8,5,8.05127615446143
"145",145,2009,15,"Honda Civic 2006-2010 1.8 V MT","Pune",106000,"Petrol","Manual","First",13.5,1799,130,5,22.382005175458
"146",146,2016,8,"Honda CR-V Diesel","Kolkata",121590,"Diesel","Manual","First",18,2000,148,5,36.2118119293596
"147",147,2012,12,"Maruti Wagon R LXI","Delhi",64692,"Petrol","Manual","First",22.5,998,67.04,5,4.59
"148",148,2010,14,"Hyundai i10 Magna","Mumbai",41000,"Petrol","Manual","First",20.36,1197,78.9,5,7.0779173978614
"149",149,2018,6,"Volkswagen Ameo 1.5 TDI Highline AT","Coimbatore",25143,"Diesel","Automatic","First",22,1498,108.495,5,27.0670061933065
"150",150,2011,13,"Volkswagen Vento Diesel Highline","Ahmedabad",51000,"Diesel","Manual","First",20.54,1598,103.6,5,14.0831794796946
"151",151,2005,19,"Hyundai Accent CRDi","Pune",109000,"Diesel","Manual","Second",13.1,1493,82,5,9.1497222707104
"152",152,2015,9,"Ford Ecosport 1.5 DV5 MT Titanium Optional","Kochi",69062,"Diesel","Manual","First",22.7,1498,89.84,5,10.6131797320348
"153",153,2015,9,"Jaguar XF 2.2 Litre Luxury","Kochi",34386,"Diesel","Automatic","First",16.36,2179,187.7,5,45.8188555420423
"154",154,2016,8,"Maruti Baleno Alpha 1.2","Delhi",20185,"Petrol","Manual","First",21.4,1197,83.1,5,6.79118515909104
"155",155,2013,11,"Hyundai Grand i10 CRDi Magna","Hyderabad",41585,"Diesel","Manual","First",24,1120,70,5,9.69837402877177
"156",156,2011,13,"Hyundai EON Era","Kolkata",24000,"Petrol","Manual","First",21.1,814,55.2,5,4.27558323000116
"157",157,2016,8,"Mercedes-Benz E-Class 2015-2017 E250 Edition E","Bangalore",40000,"Diesel","Automatic","First",15,2143,204,5,48.0653102062982
"158",158,2012,12,"Mercedes-Benz M-Class ML 350 4Matic","Bangalore",37000,"Diesel","Automatic","First",0,2987,165,5,43.6504877216432
"159",159,2015,9,"Ford EcoSport 1.5 Diesel Titanium","Chennai",67630,"Diesel","Manual","First",23,1498,98.96,5,11.48
"160",160,2016,8,"Maruti Celerio VXI AT","Coimbatore",24192,"Petrol","Automatic","First",23.1,998,67.04,5,6.71519832888726
"161",161,2017,7,"Maruti Vitara Brezza VDi Option","Hyderabad",32248,"Diesel","Manual","First",24.3,1248,88.5,5,10.2157165372619
"162",162,2013,11,"Mahindra Xylo E9","Mumbai",28000,"Diesel","Manual","First",13,2179,120,8,25.0317540346497
"163",163,2018,6,"Hyundai Creta 1.6 SX Automatic","Kochi",36471,"Petrol","Automatic","First",14.8,1591,121.3,5,15.93
"164",164,2015,9,"Honda Mobilio V i VTEC","Kochi",69689,"Petrol","Manual","First",17.3,1497,117.3,7,13.6728899035895
"165",165,2015,9,"Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Kochi",69095,"Diesel","Automatic","First",11.3,2987,254.8,7,40.8059632214091
"166",166,2010,14,"Hyundai i20 Magna","Kolkata",46000,"Petrol","Manual","First",18.5,1197,80,5,7.29112923161743
"167",167,2008,16,"Mercedes-Benz S Class 2005 2013 S 350 L","Mumbai",65000,"Petrol","Automatic","Third",10.13,3498,364.9,5,66.0520251949141
"168",168,2015,9,"Volkswagen Vento 1.5 TDI Highline","Chennai",119258,"Diesel","Manual","First",20.64,1498,108.5,5,14.32
"169",169,2015,9,"Mercedes-Benz E-Class E250 CDI Avantgrade","Bangalore",38339,"Diesel","Automatic","First",13,2143,201.1,5,45.5911224699837
"170",170,2012,12,"Toyota Etios V","Mumbai",59503,"Petrol","Manual","First",16.78,1496,88.73,5,8.06059238050987
"171",171,2010,14,"Tata Indica Vista Aqua TDI BSIII","Chennai",93600,"Diesel","Manual","Third",17,1405,71,5,9.53376060456707
"172",172,2011,13,"Volkswagen Passat 1.8 TSI MT","Coimbatore",58865,"Petrol","Manual","First",14.3,1798,160,5,23.8898054321062
"173",173,2012,12,"Maruti Alto LXi","Coimbatore",64631,"Petrol","Manual","First",19.7,796,46.3,5,4.49420066187665
"174",174,2007,17,"Skoda Laura 1.9 TDI MT Elegance","Pune",124298,"Diesel","Manual","Second",17,1896,105,5,14.8446437366697
"175",175,2003,21,"Maruti Wagon R LX","Jaipur",50000,"Petrol","Manual","Second",18.9,998,67.1,5,5.10808483376998
"176",176,2013,11,"Nissan Sunny 2011-2014 Diesel XV","Kolkata",40001,"Diesel","Manual","First",21.64,1461,84.8,5,9.69861238582569
"177",177,2015,9,"Honda Brio VX","Bangalore",62659,"Petrol","Manual","First",19.4,1198,86.8,5,6.9890170661813
"178",178,2014,10,"Hyundai i10 Sportz","Kochi",68138,"Petrol","Manual","First",20.36,1197,78.9,5,7.2294828088884
"179",179,2014,10,"Mercedes-Benz M-Class ML 250 CDI","Mumbai",34000,"Diesel","Automatic","First",15.26,2143,203.2,5,48.8290524365949
"180",180,2013,11,"Volkswagen Vento Petrol Comfortline","Mumbai",67000,"Petrol","Manual","First",15.04,1598,103.6,5,11.8626356725294
"181",181,2015,9,"Honda Mobilio S i DTEC","Delhi",64141,"Diesel","Manual","First",24.2,1498,98.6,7,13.4647678309025
"182",182,2019,5,"Maruti Alto LXI","Kolkata",1000,"Petrol","Manual","First",24.7,796,47.3,5,3.99
"183",183,2013,11,"Mercedes-Benz E-Class E250 CDI Avantgrade","Mumbai",42000,"Diesel","Automatic","First",13,2143,201.1,5,52.1229400099725
"184",184,2009,15,"Honda City ZX VTEC Plus","Coimbatore",76677,"Petrol","Manual","Third",16.9,1497,100,5,11.6325931047484
"185",185,2013,11,"Audi A8 L 3.0 TDI quattro","Kochi",66848,"Diesel","Automatic","First",11.8,2967,246.7,5,73.4384896249476
"186",186,2007,17,"Hyundai Santro Xing GL","Ahmedabad",78000,"Petrol","Manual","First",0,1086,62,5,5.17864205104331
"187",187,2010,14,"Maruti Swift Dzire VDi","Delhi",111166,"Diesel","Manual","First",19.3,1248,73.9,5,8.93813443558875
"188",188,2007,17,"Hyundai Verna CRDi ABS","Chennai",76000,"Diesel","Manual","First",18.1,1493,110,5,13.9433034302699
"189",189,2012,12,"Audi Q5 2008-2012 2.0 TDI","Coimbatore",94049,"Diesel","Automatic","First",12.8,1968,167.6,5,52.1074709140594
"190",190,2014,10,"BMW X1 sDrive20d","Ahmedabad",47000,"Diesel","Automatic","First",17.05,1995,184,5,54.5601122957904
"191",191,2006,18,"Tata Indica DLS","Chennai",140000,"Diesel","Manual","Second",13.5,1405,112.720637933714,5,16.2848234015688
"192",192,2015,9,"Tata Nano XT","Delhi",20047,"Petrol","Manual","First",23.9,624,37.48,4,4.32671867812548
"193",193,2017,7,"BMW 7 Series 730Ld DPE Signature","Chennai",16000,"Diesel","Automatic","First",16.77,2993,261.49,5,48.2631166500469
"194",194,2012,12,"Honda Brio 1.2 S MT","Chennai",27000,"Petrol","Manual","First",18.5,1198,86.8,5,6.15
"195",195,2018,6,"Maruti Alto 800 2016-2019 LXI","Mumbai",1001,"Petrol","Manual","First",24.7,796,47.3,5,4.30323988078398
"196",196,2010,14,"Hyundai i20 1.2 Sportz","Kolkata",89312,"Petrol","Manual","First",17,1197,80,5,7.21017256921957
"197",197,1996,28,"Hindustan Motors Contessa 2.0 DSL","Pune",65000,"Diesel","Manual","Second",14.1,1995,79.5900444336669,5,10.3054078268795
"198",198,2012,12,"Renault Duster 110PS Diesel RxZ","Pune",93000,"Diesel","Manual","Second",19.01,1461,108.45,5,14.5228870217355
"199",199,2013,11,"Maruti Swift Dzire VDI","Kolkata",48000,"Diesel","Manual","First",23.4,1248,74,5,8.96669063134869
